,res_id,name,locality,address,timings,cuisines,average_cost_for_one,aggregate_rating,votes,scope,url,highlights,,,,,,,feature,group
0,3400025,Jahanpanah,Agra,Agra Cantt,"12noon â€“ 11:30pm (Mon-Thu),12noon â€“ 12midnight (Fri-Sun)","North Indian, Mughlai",600,3.9,140,4.451709,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['Delivery', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Live Sports Screening', 'Live Music', 'Rooftop', 'Table booking recommended', 'Wheelchair Accessible', 'Free Parking', 'Nightlife', 'Indoor Seating', 'Free Wifi', 'Air Conditioned', 'Smoking Area']",,,,,,,"Delivery, Dinner, Cash, Credit Card, Lunch, Takeaway Available,Debit Card, Live Sports Screening",G2
1,3400341,Rangrezz Restaurant,Agra,Agra Cantt,7:30 AM to 12 Midnight (Mon-Sun),"North Indian, Mughlai",150,3.5,71,4.374357,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['Dinner', 'Takeaway Available', 'No Alcohol Available', 'Lunch', 'Cash', 'Breakfast', 'Indoor Seating']",,,,,,,"Dinner, Takeaway Available, No Alcohol Available, Lunch, Cash, Breakfast, Indoor Seating",G1
2,3400005,Time2Eat Mama Chicken,Agra,civil lines,"12 Noon to 3:30 PM, 6:30 PM to 11 PM",North Indian,1000,3.6,94,4.85458,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=774,"['Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Lunch', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted', 'Table booking recommended', 'Air Conditioned', 'Buffet']",,,,,,,"Dinner, Cash, Credit Card, Debit Card, Lunch, Takeaway Available, Indoor Seating",G1
3,3400021,Chokho Jeeman Marwari Jain Bhojanalya,Agra,Civil Lines,12:30 PM to 11:30 PM,Rajasthani,150,4,87,4.780972,https://images.unsplash.com/photo-1537047902294-62a40c20a6ae?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=435,"['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'Catering Available', 'Indoor Seating', 'Air Conditioned']",,,,,,,"No Alcohol Available, Dinner, Takeaway Available",G3
4,3400017,Pinch Of Spice,Agra,Civil Lines,"11am â€“ 10:30pm (Mon, Tue, Wed, Thu, Fri, Sun), 11:30am â€“ 10:30pm (Sat)","North Indian, Chinese, Mughlai",150,4.2,177,4.251883,https://images.unsplash.com/photo-1552566626-52f8b828add9?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['Lunch', 'Delivery', 'Breakfast', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Free Parking', 'Air Conditioned']",,,,,,,"Lunch, Delivery,Breakfast, Debit Card, No Alcohol Available, Dinner, Cash, Takeaway Available, Credit Card",G4
5,3400325,MoMo Cafe,Agra,Courtyard by Marriott Tajganj,12 Noon to 1 AM,"North Indian, European",750,4,45,4.417318,https://images.unsplash.com/photo-1578474846511-04ba529f0b88?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=387,"['Lunch', 'Serves Alcohol', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Nightlife', 'Indoor Seating', 'Kid Friendly', 'Private Dining Area Available', 'Live Sports Screening', 'Fullbar', 'Rooftop', 'Free Wifi', 'Smoking Area']",,,,,,,"Lunch, Serves Alcohol,Takeaway Available,Debit Card, Dinner, Cash, Credit Card, Nightlife,Indoor Seating,",G3
6,3400059,Peshawri-ITC Mughal,Agra,Tajganj,8:30am â€“ 11pm (Mon-Sun),"North Indian, Mughlai",225,4.3,133,4.546442,https://images.unsplash.com/photo-1550966871-3ed3cdb5ed0c?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Dinner', 'Credit Card', 'Outdoor Seating', 'Free Wifi', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Desserts and Bakes']",,,,,,,"Lunch,Cash, Takeaway Available, Breakfast, Dinner, Credit Card, Outdoor Seating, Free Wifi, Indoor Seating, Air Conditioned, Smoking Area",G1
7,3400060,Taj Bano-ITC Mughal,Agra,Tajganj,"12 Noon to 3 PM, 6 PM to 8:15 PM (Mon-Sun)",Mughlai,150,4,41,4.573945,https://images.unsplash.com/photo-1424847651672-bf20a4b0982b?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['No Alcohol Available', 'No Seating Available', 'Dinner', 'Takeaway Available', 'Lunch', 'Cash']",,,,,,,"No Alcohol Available, No Seating Available, Dinner, Takeaway Available, Lunch, Cash",G2
8,3400348,G Thal,Agra,Khandari,11:30 AM to 11:30 PM (Mon-Sun),"Rajasthani, Gujarati, Mughlai",150,3.6,59,4.364704,https://images.unsplash.com/photo-1514933651103-005eec06c04b?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=774,"['Delivery', 'Dinner', 'No Alcohol Available', 'Debit Card', 'Lunch', 'Takeaway Available', 'Credit Card', 'Cash', 'Indoor Seating', 'Air Conditioned']",,,,,,,"Delivery, Dinner, No Alcohol Available, Debit Card, Lunch, Takeaway Available, Credit Card, Cash, Indoor Seating",G4
10,3400073,The Latitude-Radisson Blu,Agra,Tajganj,10 AM to 10 PM (Mon-Sun),"North Indian, Chinese, Continental",100,3.9,103,4.07984,https://images.unsplash.com/photo-1551632436-cbf8dd35adfa?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=871,"['Delivery', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Lunch', 'Cash', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']",,,,,,,"Delivery, Takeaway Available, No Alcohol Available, Dinner, Lunch, Cash, Indoor Seating, Digital Payments Accepted, Pure Veg",G3
11,3400019,Dasaprakash Restaurant,Agra,Rakabganj,7 AM to 7:30 PM,"South Indian, Desserts",25,4.1,121,4.178894,https://images.unsplash.com/photo-1508424757105-b6d5ad9329d0?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=435,"['Breakfast', 'Lunch', 'Takeaway Available', 'Cash', 'No Alcohol Available', 'Dinner', 'Pure Veg', 'Free Parking', 'Outdoor Seating']",,,,,,,"Breakfast, Lunch, Takeaway Available, Cash, No Alcohol Available, Dinner, Pure Veg, Free Parking, Outdoor Seating",G1
